order_id,customer_id,segment,amount,status,order_date,discount
KR4200,C1451,Student,1280,cancelled,2026-08-03,150
KR4201,C1022,Retail-Core,1865,returned,2026-08-03,
KR4202,C1813,Retail-Core,2270,delivered,2026-08-04,
KR4203,C1758,Retail-Plus,2835,cancelled,2026-08-04,
KR4204,C1498,Student,1310,delivered,2026-08-05,
KR4205,C1167,Student,1145,cancelled,2026-08-05,
KR4206,C1186,Retail-Plus,1030,delivered,2026-08-06,
KR4207,C1453,Retail-Plus,985,delivered,2026-08-06,150
KR4208,C1234,Student,2430,delivered,2026-08-07,125
KR4209,C1648,Retail-Plus,2895,returned,2026-08-07,
KR4210,C1312,Business,twelve,cancelled,2026-08-10,
KR4211,C1155,Business,2360,delivered,2026-08-10,300
KR4212,C1577,Business,2855,returned,2026-08-10,
KR4213,C1649,Student,2745,returned,2026-08-10,
KR4214,C1500,Retail-Plus,,cancelled,2026-08-10,
KR4215,C1606,Business,950,delivered,2026-08-10,
KR4216,C1273,Student,2140,delivered,2026-08-11,300
KR4217,C1492,Student,1475,returned,2026-08-11,
KR4218,C1893,Retail-Core,1445,delivered,2026-08-12,
KR4219,C1137,Business,2050,delivered,2026-08-12,
KR4220,C1431,Retail-Plus,2795,delivered,2026-08-13,25
KR4221,C1799,Business,1425,cancelled,2026-08-13,
KR4222,C1852,Student,2990,cancelled,2026-08-14,
KR4223,C1435,Student,965,cancelled,2026-08-14,
KR4224,C1490,Retail-Plus,1170,returned,2026-08-17,
KR4225,C1440,Retail-Plus,1435,delivered,2026-08-17,
KR4226,C1307,Retail-Plus,1190,returned,2026-08-17,250
KR4227,C1020,Retail-Core,800,returned,2026-08-17,
KR4228,C1169,Retail-Plus,1355,cancelled,2026-08-17,
KR4229,C1181,Retail-Plus,1555,delivered,2026-08-17,
KR4230,C1371,Business,2930,cancelled,2026-08-18,
KR4231,C1596,Business,"12,400",cancelled,2026-08-18,100
KR4232,C1749,Retail-Core,480000,delivered,2026-08-19,
KR4233,C1775,Retail-Core,970,delivered,2026-08-19,
KR4234,C1050,Retail-Plus,2995,returned,2026-08-20,275
KR4235,C1490,Student,24 500,delivered,2026-08-20,
KR4236,C1116,Business,2035,cancelled,2026-08-21,75
KR4237,C1105,Student,,cancelled,2026-08-21,
KR4238,C1693,Retail-Core,2895,returned,2026-08-24,
KR4239,C1374,Business,2050,delivered,2026-08-24,300
KR4240,C1434,Business,Rs 8000,delivered,2026-08-24,
KR4241,C1190,Retail-Core,2845,delivered,2026-08-24,
KR4242,C1043,Retail-Core,2640,cancelled,2026-08-24,
KR4243,C1772,Student,1385,delivered,2026-08-24,
KR4244,C1252,Business,2005,cancelled,2026-08-25,
KR4245,C1625,Retail-Core,1955,returned,2026-08-25,
KR4246,C1565,Retail-Core,1980,delivered,2026-08-26,
KR4247,C1494,Retail-Core,1640,delivered,2026-08-26,
KR4248,C1440,Retail-Core,1210,cancelled,2026-08-27,
KR4201,C1022,Retail-Core,1865,returned,2026-09-14,
