id,segment,amount,outcome,date
3001,segment_b,9400,accepted,2026-09-21
3002,segment_a,5750,declined,2026-09-21
3003,segment_c,13200,accepted,2026-09-22
3004,segment_b,-4500,accepted,2026-09-22
3005,segment_a,7800,pending,2026-09-23
3006,segment_d,1650,accepted,2026-09-23
3007,segment_c,22400,declined,2026-09-24
3008,segment_b,forty two,accepted,2026-09-24
3009,segment_a,4300,accepted,2026-09-25
3010,segment_c,16100,pending,2026-09-25
3011,segment_b,,declined,2026-09-28
3012,segment_d,2900,accepted,2026-09-28
3013,segment_a,10800,accepted,2026-09-29
3014,segment_c,6350,pending,2026-09-29
3015,segment_b,18900,accepted,2026-09-30
3016,segment_a,3050,declined,2026-09-30
3017,segment_c,7450,accepted,2026-10-01
3018,segment_d,1100,accepted,2026-10-01
3019,segment_b,24 500,pending,2026-10-02
3020,segment_a,8900,accepted,2026-10-02
3021,segment_c,5600,declined,2026-10-05
3022,segment_b,12300,accepted,2026-10-05
3023,segment_a,4750,pending,2026-10-06
3024,segment_d,2050,accepted,2026-10-06
3025,segment_c,19750,accepted,2026-10-07
3026,segment_b,6100,declined,2026-10-07
3027,segment_a,11400,accepted,2026-10-08
3028,segment_c,3800,pending,2026-10-08
3029,segment_b,15300,accepted,2026-10-09
3030,segment_a,2450,accepted,2026-10-09
